DNAの塩基配列や蛋白質のアミノ酸配列などは一定の速度で変化していると推定されているので、各種生物間で変化量を比較検討することで、祖先からの分岐年代を測定することが可能となる。このときのDNAや蛋白質のこと。,分子時計,,生物
イギリスの生物学者。生物の利他行動を説明する血縁淘汰説や、ゲーム理論を用いて儀式闘争を説明する「進化的に安定な戦略」などの提唱で有名。,ジョン・メイナード＝スミス,,生物
3 個 1 組からなるアミノ酸の塩基配列。,遺伝暗号（コドン）,,生物
ミトコンドリアの起源である原核生物。葉緑体の起源はシアノバクテリア。,αプロテオバクテリア,,生物
J.ラマルクによって提唱された進化説。生物は環境に応じて、よく使用する器官は代を重ねるにつれて発達し、反対に使用しなくなった器官は次第に縮小・退化するという説で、一生の間に得た形質は子孫に伝えられ、代を重ねるにつれて生物が変わっていくとした。獲得形質の遺伝を認めたもので、今日では否定されている,用不用説,,生物
ドイツの動物学者。生物の情報は生殖細胞を経由して遺伝するという生殖質連続説を主張し、獲得形質の遺伝を否定した。また、ネズミの尾を5世代にわたって切断し続けてもそのあとで生れてくるネズミの尾は短くならないことを明らかにした実験を行ったことでも有名。,アウグスト・ワイスマン,,生物
生物の偶発的な遺伝的変異に自然淘汰が作用して進化が起こるという学説。 ドイツのワイスマンにより主張され、獲得形質の遺伝を否定した。,ネオダーウィニズム,,生物
受精卵の遺伝子操作などにより、親の望む外見・知力・体力などを与えられた子供。,デザイナー・ベビー,,生物
ゲノム編集技術を利用して、ある有性生殖を行う生物の特定の遺伝子を改変し、集団の遺伝構成を変更すること。マラリアを媒介する蚊を不妊にする研究が進められている。,遺伝子ドライブ,,生物
イギリスの人類学者。チャールズ・ダーウィンの従兄弟に当たる。『種の起源』に影響を受けて優生学を創始した。統計学においても回帰や相関の概念を提唱し大きな影響を与えた。,フランシス・ゴルトン,,生物
生物の進化において、たとえば体の大型化、貝殻の巻込み方の増大などの傾向を保ったまま進み続けるようにみえる一定の方向性があるとする説。体の大型化についてはコープの法則として成り立つ例が知られるが、一般には性淘汰などによって説明される。,定向進化説,,生物
密接な関係をもつ複数の種が、互いに影響を及ぼし合いながら進化すること。捕食者と被食者や、寄生者と宿主のように利害の対立する関係の場合、一方が進化すると他方がそれに対抗する進化をとげるという軍拡競争の形で進む。これが極端に進行したものをランナウェイ  効果という。,共進化,,生物
生物の種は絶えず進化していなければ絶滅するという仮説。ルイス・キャロルの小説『鏡の国のアリス』内の、「同じ場所にとどまるためには、絶えず全力で走っていなければならない」という言葉にちなむ。有性生殖が行われる理由として、これが持ち出されることがある。すなわち、有性生殖は絶えず新しい組み合わせの遺伝子型を作ることによって、進化速度の速い細菌や寄生者に対抗していると考えるのである。,赤の女王仮説,,生物
動物細胞間の接着に関与する細胞に固定された糖たんぱく質。接着因子の一つで、細胞間の接着部位に分布している。密着結合においてはクローディンが用いられる。,カドヘリン,,生物
ヒト属には繋がらない猿人の一種。乾燥した草原で硬い植物を食べるために歯と顎が巨大に発達し、頭頂部には側頭筋が付くためのゴリラのような矢状稜がある。,パラントロプス,,生物
進化人類学の用語で、脳の進化は生態学的環境ではなく、社会的環境における適応過程であるという仮説。たとえば、縄張りを維持する動物の場合、縄張りの地図を保持するのに特定の脳の記憶機能などが必要となり、このような生態学的環境が脳の進化を促したとする考えに対して、複雑な社会環境こそ脳の大きさの進化とかかわると考える。実際、全脳体積に占める脳の新皮質の体積の比率が霊長類で大きくなっており、また集団の大きさとも相関が見られるという。社会的な相互作用の複雑さは、伴侶となる相手を見つけたり、他者の顔を識別したり、場合によっては情報を操作して他者を欺いたりする社会的技能にも表われている。,社会脳仮説,,生物
脊椎動物のうち、発生の過程で羊膜を生ずる、爬虫類・鳥類・哺乳類の総称。陸上への進出を容易にするように進化したと考えられている。,羊膜類,,生物
脊椎動物のうち魚類を除いた動物の総称。,四肢動物,,生物
毛包などの組織を発達させるタンパク質の遺伝子。胎児の段階で作用する。,ssh(ソニックヘッジホッグ),,生物
脊索を生活史の一時期あるいは終生、尾部にもつ海産無脊椎動物の総称。ホヤ綱・タリア綱とオタマボヤ綱からなる。雌雄同体。,尾索類,,生物
動物が、成体に至る前の幼生型をしたまま成熟し、繁殖する現象。メキシコサンショウウオの幼形成熟体であるアホロートルはよく知られる。,ネオテニー,,生物
成体の口が原口に由来するのではなく、新たに外胚葉が陥入することによって形成される動物の総称。棘皮動物・脊索動物・脊椎動物など。,新口動物,,生物
動物界の一門。体は五方向に放射相称で、石灰質の骨片か殻をもち、骨板上にさまざまの形のとげをもつ。すべて海産。ウニ・ナマコ・ヒトデ・ウミユリ・クモヒトデの5綱に分けられる。,棘皮動物,,生物
昆虫のうち、もともとはねがなく、幼虫と成虫の形がほとんど変わらない原始的な虫の総称。トビムシやシミ、イシノミなど。,無翅類,,生物
陸上生活に適応した節足動物のうちで、頭に1対の触角をもつ5綱の動物群のうち、昆虫綱を除いたほかの4綱（少脚綱、倍脚綱、唇脚綱、結合綱）をまとめて便宜的によぶ総称。ヤスデ類，コムカデ類，ヤスデモドキ類，ムカデ類を含む。,多足類,,生物
クモ・サソリ・ダニなどのクモガタ類・およびカブトガニ、ウミサソリ・ウミグモなどを含む節足動物の一群。,鋏角類,,生物
成体の口が原口に由来し、肛門は別に原腸の末端に形成される動物の総称。扁形・輪形・袋形・節足・軟体動物など。,旧口動物,,生物
生物が正しく発生，分化していくためのカギとなる遺伝子。この遺伝子に変異が入ると、たとえばショウジョウバエの触角のかわりに足が生えるという奇妙なこと（ホメオーシス）が起こる．代表的なものとして、動物ではHox遺伝子、植物ではMADSボックス遺伝子がある。,ホメオティック遺伝子,,生物
クラゲ、サンゴ、イソギンチャク類に代表される動物群。体は基本的には放射相称で、内外 2層の細胞層からなる 2胚葉性動物である。浮遊生活をするクラゲ型と海底の岩などに吸着して生活するポリプ型がいる。,刺胞動物,,生物
単細胞の原生動物を除いた他のすべての動物の総称。海綿動物・刺胞動物から脊椎動物にわたる。,後生動物,,生物
きわめて目だつ模様の存在によってその動物の体が分断され、1個の動物として認知しがたくなることによって、隠蔽効果のあらわれる体色。有名なトラの縞模様、キリンの斑、瓜坊の背中の筋、熱帯魚の美しい模様、チョウやガの翅のはでな帯など。,分断色,,生物
性の役割と生殖器の形状が他の生物と逆転している昆虫。和名は『とりかへばや物語』から。,トリカヘチャタテ,,生物
 菌類が主に根の表面付近の組織中に繁殖している菌根のこと。マツ科、カバノキ科、ブナ科などの森林樹木に広くみられ、マツタケ科の菌が着生している場合が多い。,外菌根,,生物
酵母の一種で、いわゆる「出芽酵母」や「パン酵母」のこと。ビールや日本酒などのアルコール醸造に欠かせない微生物であると同時に、ヒトと同じ真核生物であることから、モデル生物として古くから様々な研究がなされてきた。,サッカロマイセス・セレビシエ,,生物
日本において清酒、みりん、甘酒、みそ、しょうゆの醸造用、オリーゼチーズの発酵用に用いられる子嚢菌類。,ニホンコウジカビ,,生物
生物の分類群で、ある単一の共通祖先から進化した子孫のうち、特定の系統を除いて残りをまとめたもの。単系統群に対して言う。,側系統群,,生物
カエルなどの両生類にとって致死的な感染症。アフリカから輸出されたアフリカツメガエルとともに世界中に伝播したとされる。ラナウイルスなどと共に有名。,カエルツボカビ症,,生物
動物（後生動物）と真菌に加えて数グループの原生生物を含む生物群。共有形質は、動物の精子やツボカビの胞子のような鞭毛を持った細胞が、後ろ側にある1本の鞭毛で進むことである。,オピストコンタ,,生物
植物の種子を、遺伝子資源、遺伝的多様性および種の保存を目的として保存する施設。ノルウェーのものが有名。,種子銀行,,生物
体が緑色で、光合成の主要色素としてクロロフィルaとbをもち、光合成によりデンプンを生産して貯蔵する緑色植物から、維管束をもつ種子植物とシダ植物、胚をもつコケ植物、多細胞の生殖器官をもつ車軸藻類を除いた残り。ミカヅキモやアオサ、マリモなど。,緑藻,,生物
クロロフィルa・d、フィコシアン、キサントフィル、カロテンのほかに多量のフィコエリトリンを含んでいるので体色が紅色、紫色を呈する藻類。,紅藻類,,生物
生物個体が発生を開始してから次世代の個体が発生を開始するまでのサイクル。,生活環,,生物
1980年代頃から提唱され始めた真核生物の高次分類群のこと。一般に、それ以前から知られている門や界を下位分類とするような上門、亜界、界、上界等の階級の程度の単系統の分類群を指す。,スーパーグループ,,生物
ストラメノパイル、アルベオラータ、リザリアを含む系統群。,SAR,,生物
ロキ古細菌など真核生物に最も近いと想定される古細菌群に対して提案された上門、またはクレード。,アスガルド古細菌,,生物
生物の分類の一つ。大腸菌や藍藻などの一般的な細菌、バクテリア、シアノバクテリアを指す。原核生物。,真正細菌,,生物
細菌とアーキアと真核生物の最終共通祖先のこと。コモノートとも。,最終共通祖先（LUCA）,,生物
系統学において、ある系統で現生する種の最も近い共通祖先の子孫全てから構成される系統群のこと。これより外にありこれに近縁な系統群はステムグループと呼んで区別する。,クラウングループ,,生物
米国の鉄道建築技術者の職長だった人物。大きな鉄の棒が頭を完全に突き抜けて彼の左前頭葉の大部分を破損するという事故に見舞われながらも生還したことで有名。また、その損傷が彼の友人たちをして「もはや彼ではない」と言わしめるほどの人格と行動の根本的な変化を及ぼしたことによって知られている。,フィニアス・ゲージ,,
核分裂爆弾 の起爆形式の一つ。周囲に配置した火薬の爆発力でウランやプルトニウムを圧縮し、核分裂を発生させる。核物質が少量ですみ小型化が可能なうえ、爆発威力の制御も容易であることから、ファットマンをはじめ現在の核分裂爆弾のほとんどに使われている。,インプロージョン方式,,
アメリカの化学者。ウイルスを分離・結晶化に成功し、1946年のノーベル化学賞を受賞した。,ウェンデル・スタンリー,,生物
ウイルスによる植物病の一種。おもに葉に病徴が現れ，ときには茎，花柄，花弁，果実などの色素体に異常を生ずる。部分的に退色するため黄〜黄緑色の部分と濃緑色の部分とができて，モザイク状を示す。トマト，タバコ，ジャガイモ，ハクサイ，カブなどのモザイク病があり，アブラムシにより媒介されることが多い。,モザイク病,,生物
デンマークの医師が創案した細菌染色法。細菌を分類する基準の一つ。,グラム染色,,生物
感染性のタンパク粒子。ヒツジがかゆがり、体が震え、足がまひする病気のスクレイピー、牛海綿状脳症（BSE）、人間のクロイツフェルト・ヤコブ病などの原因になる。,プリオン,,生物
地球上の生物が現実に住んでいる世界が出現する以前にこの地球上に存在していたと想定される、RNAを遺伝子とする原始生命世界のこと。,RNAワールド,,生物
1953年に行われた、実験室内で太古の地球の表面付近の状態を再現し、その中での化学反応で有機化合物の生成を認めた実験。,ユーリー‐ミラーの実験,,生物
キラル分子において片側のエナンチオマー（鏡像異性体）だけが存在していることを示すのに使う化学用語。たとえば、生体内に於いて、ほとんど全てのアミノ酸は D体と L体のエナンチオマーのうち L体のみが存在する。糖質も、天然ではほとんどのものが D体のみ存在する。,ホモキラリティー,,生物
地球上の最初の生命は宇宙からもたらされたという仮説。スウェーデンの物理化学者スバンテ＝アレニウスが、他の天体で発生した微生物の胞子のようなものが、隕石や彗星に付着して地上に飛来したという説を唱えた。,パンスペルミア説,,生物
本来は雌雄の両個体があって有性生殖を行う生物が、一方の個体のみで子孫をつくりだす生殖。ハチの例が有名。,単為生殖,,生物
光を使う技術と遺伝学を組み合わせた研究分野。神経細胞に光を照射してその働きを操作したり、蛍光色素を神経細胞に導入して活動の様子を可視化したりする研究などがある。,光遺伝学（オプトジェネティクス）,,生物
生息域の環境を改変することで、他の生物にも影響を与える動植物。ダムをつくることで小魚や水草などの繁殖を促すビーバーなど。,生態系エンジニア,,生物
球形の眼球と、ピントの調節が可能なレンズを備えた目。ヒトを含む脊椎動物、イカ・タコをはじめ軟体動物の頭足類・腹足類に見られる。,カメラ眼,,生物
松果体から分泌されるホルモン。日中は光刺激により分泌が抑制され、明暗周期に敏感に反応した日内変動、概日リズムを示す。睡眠促進作用、外界の24時間周期に体内時計を同調させる作用があると考えられる。,メラトニン,,生物
心臓拍動停止、呼吸停止、および脳機能の不可逆的停止を 示す瞳孔の対光反射の消失の3つからなる、死の判定基準。,死の三徴候,,
アメリカ合衆国ニューヨーク州にある、世界最小とされる有人島。,ジャスト・ルーム・イナフ島（ハブ島）,,
菌類のうちで虫に寄生していろいろな形の子実体（キノコ）をつくる菌の総称。中国産のものは強精剤として有名。,冬虫夏草,,
ソビエト連邦が開発した人類史上最大の水素爆弾の通称。単一兵器としての威力は人類史上最大であり、1961年に核実験が行われて消費され、現存していない。,ツァーリ・ボンバ,,
キャッスル作戦として1954年にアメリカ合衆国がマーシャル諸島・ビキニ環礁で実施した核実験。第五福竜丸事件が起きた。,ブラボー実験,,
1945年、米国ニューメキシコ州で行われた人類初の核実験。,トリニティ実験,,
第2次世界大戦中に行われたアメリカの原子爆弾製造計画。A.アインシュタインから F.ルーズベルト大統領にあてた 1939年の勧告書がきっかけとなり、原爆製造をドイツより先んずるため、アメリカの物理学者オッペンハイマーによる指導のもと行われた。この結果、45年には史上初の核実験が行われ、8月には広島、長崎に原爆が投下された。,マンハッタン計画,,
「原爆の父」として知られるアメリカ合衆国の理論物理学者。第2次世界大戦中はマンハッタン計画を指揮したが、のちに水爆製造に反対して公職を追放された。,ロバート・オッペンハイマー,,
「水爆の父」と称されるアメリカの物理学者。第2次世界大戦中はマンハッタン計画に参加し、水素爆弾の開発製造を強力に推進した。イグノーベル平和賞を受賞している。,エドワード・テラー,,
アフリカの西部および中部だけにある伝染病。病原体はトリパノソーマという鞭毛虫で、感染は特定の刺蠅（ツェツェバエなど）による。重い神経症状を呈し、嗜眠、昏睡に陥って死亡する。,アフリカ睡眠病,,
WHOにより指定された、熱帯地域に集中して蔓延している寄生虫疾患や細菌による感染症。世界の100を超える国々で、とくに貧困層を中心に10億人以上が複数の疾病に感染しているが、有効な診断法や治療薬が少なく、年間50万人ほどが死亡するといわれている。デング熱、狂犬病、トラコーマ、ブルーリ潰瘍、トレポネーマ感染症、ハンセン病、シャーガス病、アフリカトリパノソーマ（睡眠病）、リーシュマニア症、嚢虫症、メジナ虫症、包虫（エキノコックス）症、リンパ系フィラリア症（象皮病）、オンコセルカ症（河盲症）、住血吸虫症など。,顧みられない熱帯病,,
世界的に見られる3つの重大な感染症。エイズ、結核、マラリアからなる。,三大感染症,,
人為的に性質を変化させた物質。特に、光などの電磁波に対して負の屈折率をもつなど、自然界に見られる物質とは異なる振る舞いを示す物質を指す。,メタマテリアル,,
首をはねられた後も18か月間生存していたことで知られるアメリカの雄鶏。頚動脈が凝固した血液でふさがれ、失血が抑えられたのではないかと推測された。また脳幹と片方の耳の大半が残っているので、首を失っても歩くことができるのだという推論に達した。,（首なし鶏）マイク,,
真の現実と区別できないコンピューターシミュレーション。現在の技術では実現できていない、科学哲学上の思考実験における仮説、またはサイバーパンクをはじめとするサイエンスフィクションの主題や世界観として取り上げられる。,シミュレーテッド・リアリティ,,
生物の体の大きさによらず、部分どうし、または部分と全体の大きさや重量、生理学的な諸量（代謝量、寿命など）との間に見られる量的関係。体格が相似と見なせるならば、一般的に体表面積は体重の3分の2乗、代謝量は体重の3分の4乗に比例することなどが知られている。,アロメトリー,,
1973年にサイエンスに掲載された、「精神科医が、正常な人と精神障害を持つ人を見分けられない」という実験である。,ローゼンハン実験,,
20世紀の初め頃ドイツで、演算ができるということで有名だった馬。非常に複雑な計算問題を即座に解くようにみえたので、センセーションを起した。,賢馬ハンス,,
地球を取り巻く大気のうち、地表面から始まり高度10～17キロメートルの範囲をいう。地面が日射で暖められることにより地表面付近の大気が暖められ，上層の大気は赤外放射によって冷やされるため，気温減率が増大する。気象の変化はほとんどこの圏内で起こる。,対流圏,,地学
大気の区分の一つで、対流圏の上で中間圏の下に位置する。その上端である界面の高度は48km。20～30kmに存在するオゾン層が太陽からの短波放射である紫外線を吸収して熱エネルギーに変換するため高度とともに上昇する。,成層圏,,地学
高緯度地方の上空にごくまれに見られる雲。日没後または日の出前の数時間の間だけ、暗くなった空を背景に白く光って見える。地球大気中の雲のなかでもっとも発生高度が高い（中間圏）。氷晶からなると推定される。,夜光雲,,地学
大気上層部分の、高度90キロメートルから約500キロメートルまでの部分。太陽極紫外線による加熱作用の結果、気温が高度とともに上昇する。,熱圏,,地学
国際航空連盟（FAI）によって定められた宇宙空間と地球の大気圏との境目。海抜高度100キロメートル。,カーマンライン,,地学
弱い上昇流によって広い範囲で形成される雲。水平方向に広がり、雲の表面は滑らかで、雲頂は凹凸が少ない。巻雲・巻積雲・巻層雲・高積雲・高層雲・乱層雲・層積雲・層雲がこれにあたる。積雲と積乱雲は対流雲と呼んで区別する。,層状雲,,地学
発達した積乱雲の衰弱期に見られる雲。雲頂は発達して圏界面付近まで達しており，この付近の強い風のため頂上付近の雲が水平に流されて特徴的な見た目を形成する。,かなとこ雲,,地学
積雲または積乱雲から生じる強い下降流が地面に到達後地表面付近で周囲に吹き出し、突風を生じさせる現象。その先端部はガストフロント（突風前線）という。,ダウンバースト,,地学
上層雲の一つ。最も高度の高い氷晶雲で、刷毛(はけ)でこすった跡のような形が特徴。夏は上空の風が弱いので形が不明瞭。濃密なものは半日〜1日後に雨をもたらす可能性がある。,巻雲,,地学
巻層雲のような薄い氷晶雲を通して太陽を見たときに，太陽を中心とする光の輪が見える現象。,ハロ,,地学
太陽の上に虹のような帯が見える現象。幻日と同じく上空の大気中の氷晶が太陽光を屈折することで生じる。,環天頂アーク（逆さ虹）,,地学
対流圏上部に発生するベールのような薄い雲。ハロなどの光学現象が見られるので同定できる。温暖前線の接近時、巻雲の次に現れ、天気が崩れる前兆となる。,巻層雲,,地学
白色の小さい雲片の群れが蜂の巣状，うろこ状，波状の形に見える雲。いわし雲とも。温暖前線接近時に現れる。日本では、晴れた秋空高く見られる。,巻積雲,,地学
中層の雲。白色の塊が線状、波状に群れをなしたもので、すき間から青空が見え、陰影をもつ。羊の群に見えることから羊雲とも,高積雲,,地学
曇り空の原因となる中層雲。雨や雪が降ることが多い。おぼろ雲、どんより雲などとよばれる。,高層雲,,地学
中層雲の一種。雨雲、雪雲とも。雲底は乱れ、ときにちぎれて片乱雲が生じる。,乱層雲,,地学
雲底から鉛直方向または斜め下向きに筋のようなものが見られる現象。雲粒どうしが結合してできた雨粒が、地上に落ちてくる途中で蒸発して発生する。降水現象と見なされる場合もある。,尾流雲,,地学
下層雲の一種で、曇りの日にみられる。曇雲、畝雲とも。高積雲に似ているが、現れる高度が低く、雲塊、または波の間隔が角度にして五度以上と高層雲より大きい。,層積雲,,地学
下層雲の一種で、最も低いところに現れる。,層雲,,地学
ある生物種の繁殖が近縁種に邪魔されること。雑種形成や結実率の低下により、邪魔された種が減少する。,繁殖干渉,,生物
本来は別種であるが、外見上の区別がつかず、同一種として扱われていた種。遺伝子の塩基配列などを調べる分子系統学的な手法で、別種の存在が明らかになることが多い。,隠蔽種,,生物
隔離された生物集団の遺伝子頻度が、元の大きな生物集団の遺伝子頻度と異なったものになること。祖先となった少数の個体の遺伝子頻度の偏りの影響を強く受けることによる。洋島などの離島の生物集団に見られる。,創始者効果,,生物
隣接する集団と雑種を生じることのできる類縁関係にある一続きの個体群のこと。北極を囲むように生息するカモメの例が知られる。二つの「端」の集団がある場合には、それらは雑種を生じることができない。,輪状種,,生物
同一の原種生物が，種々の異なった環境にすむと，それぞれの環境に適した生理的，形態的分化を起し，多数の異なった系統に分れること。この現象は地質時代を通じて数多く起り，爬虫類や哺乳類について，生活の場所に関しては地上，地下，水中，半水中，樹上，空中に，また食性については草食，肉食，雑食などに分化した。また、閉鎖的な環境下で著しく進むことが知られている。,適応放散,,生物
染色体が基本数の整数倍あり、しかも異なるゲノムを含むこと。特に無性生殖を行う植物で多く見られる。,異質倍数性,,生物
種なしスイカなどの品種改良に用いられるアルカロイドの一種。染色体の倍化を起こす。,コルヒチン,,生物
獲得性遺伝を説明するために C.ダーウィンが唱えた仮説。微小粒子により遺伝形質が伝わるとする。,パンゲネシス,,生物
生物のある系統の細胞から抽出されたDNAを、ほかの系統の生きた細胞に与えたとき、DNAがその細胞に取り込まれて遺伝形質が変化する現象。この現象は、1928年イギリスのグリフィスが肺炎菌を用いて行った実験が端緒となり発見された。,形質転換,,生物
アメリカの化学者。1952年、細菌内に入ったファージのDNAだけでファージの増殖が起こることからDNAが遺伝物質であることを証明し、1969年にノーベル生理医学賞を受賞した。,ルフレッド・ハーシー,,生物
アメリカの物理化学者。混成軌道や電気陰性度などの諸概念を提唱して、1954年にノーベル化学賞を受賞。核実験反対など平和運動にも尽力し、1962年のノーベル平和賞も受賞した。,ライナス・ポーリング,,生物
イギリスの物理化学者。ウィルキンズのもとでDNAのX線結晶学的研究に取り組み、DNAの明瞭な写真撮影に成功して、J・D・ワトソンとクリックによるDNA分子モデル作成を導いた。,ロザリンド・フランクリン,,生物
オークションで発生する可能性のある、出品物の市場価値より落札額が高くなる現象のこと。,勝者の呪い,,
アメリカの生物学者。DNAの二重らせん構造の発見で受賞したノーベル生理学・医学賞を競売に出した（落札額は約5億7千万円）。存命のノーベル賞受賞者のメダルが競売されたのは史上初めて。,ジェームズ・ワトソン,,生物
分類不能な微化石の総称。およそ32億年前から現在まで産出する。その多様性は、捕食動物の出現やカンブリア爆発などの大きな生態学的イベントを反映している。,アクリターク,,地学
cotx=1/tanx のこと。secxは正割（セカント）、cosecxは余割（コセカント）という。,余接（コタンジェント）,,数学
数学用語で、上界の最小値のこと。開区間や範囲が無限であるときなどに出てくる。sup.,上限,,数学
建物の一か所に設けた熱源装置から、熱を各室に送って暖房する装置のこと。集中暖房システム。,セントラルヒーティング,,
温度の急激な変化による血圧の急上昇や急下降、脈拍の変動などがからだに及ぼす悪影響。,ヒートショック,,生物
ある生物集団において、（1）個体群のサイズが十分に大きく、（2）自由に交配を行い、（3）個体の流出・流入がなく、（4）突然変異が生じず、（5）遺伝子型に対する自然選択が働かない場合、対立遺伝子の遺伝子頻度は世代を経ても一定に保たれるという法則。,ハーディ・ワインベルクの法則,,生物
1789年、タヒチ島から西インド諸島におもむく途中のイギリス軍艦の乗組員が艦長に対して起した反乱。その後数人の反乱者はタヒチからの移住者と共にピトケアン島に住み着いた。,バウンティ号の反乱,,
隔離された生物集団の個体数が、環境変化や病気の蔓延などによって著しく減少したとき、生き残った集団の遺伝的浮動が促進されること。遺伝子頻度は祖先集団のものとは異なるが、均一性の高いものとなる。,ボトルネック効果,,生物
近親交配により、両親よりも繁殖力や抵抗性などが低下すること。,近交弱勢,,生物
ウイルスの核酸を包み込む殻を構成するたんぱく質。,カプシド,,生物
ヘルペスウイルス、インフルエンザウイルス、ヒト免疫不全ウイルス、B型・C型肝炎ウイルスなどの表面を覆う膜。宿主の細胞内で増殖したウイルスが、宿主細胞の細胞膜や核膜をまとって外に飛び出すことによって形成される。表面にはスパイクとよばれる糖たんぱく質の突起があり、宿主細胞への侵入などに重要な役割を果たす。脂溶性のため、アルコールや中性洗剤などで破壊することで感染性を失わせることができる。,エンベロープ,,生物
首の部分が細長く、上下に大きく湾曲したフラスコ。生命の自然発生説を否定する実験に用いられたことで知られる。,パスツール（白鳥の首）フラスコ,,生物
ドイツの数学者。「切断」の概念を導入して無理数を定義し、これによって実数を完全に定義した業績で知られる。,リヒャルト・デデキント,,数学
"任意の正の実数 a, b に対して，b < na となる自然数 n が存在する、という公理。",アルキメデスの公理,,数学
解析学において、（有限な）実数値のみを用いて極限を定義する方法。数列の場合にはε-N論法と呼ばれる。,イプシロン-デルタ論法,,数学
有界な数列は有限な実数へ収束する部分列を持つ、という定理。区間縮小法などを用いて証明できる。,ボルツァーノ＝ワイエルシュトラスの定理,,数学
"m,nが限りなく大きくなるとき，｜am－an｜が0に限りなく近づいていく数列のこと。数列が収束する必要十分条件になる。極限値を要しない点で有用。",コーシー列,,数学
太陽系のような恒星の周囲をまわる惑星系において、水、メタン、アンモニアなどの水素化物が固体として存在する距離。太陽系の場合、火星と木星の軌道にはさまれた小惑星帯に位置する。この距離よりも遠方では、恒星から十分遠く、低温となる。,スノーライン,,地学
(1)月の起源を説明するジャイアントインパクト説において、誕生してまもない原始地球に衝突した火星ほどの大きさの天体。(2)ギリシャ神話で、最古の大地の女神ガイアと天空神ウラノスの間に生まれた女神。ティタン神族の一人。,テイア,,地学
岩石を主成分とする隕石（石質隕石）の中で、ケイ酸塩の球粒組織であるコンドリュールを多く含み、溶融を経験せず、岩石質と金属質が分かれていないものの総称。地球に落下する隕石の8割以上がこれに当たるため、地球型惑星の原材料物質として考えられることが多い。炭素質のものは、含まれるアミノ酸の一部がL型過剰である例が知られており、地球生命のアミノ酸の地球外起源説の大きな根拠になっている。,コンドライト,,地学
天体での溶融を経験した隕石で、溶融のため金属鉄成分が沈降して抜けて、ケイ酸塩成分が固化したもの。,エコンドライト,,地学
流星のなかでも極めて明るいもの。,火球,,地学
太陽系がつくられる以前の恒星の周囲にあった固体の微粒子。隕石中などに、現在の太陽系に起源する物質とは同位体の存在比が大きく異なる鉱物が見つかっており、太陽より古い時代の恒星に由来すると考えられている。,プレソーラー粒子,,地学
地球は、大気・海洋成分を全くもたないドライな状態で45.6億年前に誕生し、約44億年前に、水を含む微惑星などが衝突したことによって大気・海洋成分が二次的に付加した、とする地球形成モデルのこと。,ABELモデル,,地学
単一の剛体プレートがマントルの上にある状態のこと。火星や最初期の地球などに見られる。,スタグナントリッド,,地学
地球磁場の強さと方向を表わすために必要な3つの成分。磁針のさす方向が地理上の北の方向とずれる角度を偏角、磁針が水平面からどれだけ傾くかを表わす伏角、磁場の強さを表わす全磁力（水平分力）からなる。,地磁気の3要素,,地学
地表近くの物質の分布は均一ではないのだが、地表よりある深さの水準面（均衡面）に到達すると、一定の圧力になるという理論。スカンジナビア半島にみられる、年に数センチメートルもの隆起はそのよい例。,アイソスタシー,,地学
結晶がその固有の結晶面で囲まれて、規則正しい形をしていること。,自形,,地学
地球の大規模な変動は、マントル内部の対流によって起こるという学説。,プルームテクトニクス,,地学
地球表面の地殻と最上部マントルからなる硬い層。地球の表層を動く地塊であるプレートに相当する。地殻とマントルの間にはモホロビチッチ不連続面と呼ばれる明確な境界がある。,リソスフェア,,地学
地球内部の上部マントルの領域にある、高温で流動しやすい層。プレートの下面を潤滑にして移動しやすくしていると考えられている。,アセノスフェア,,地学
マントル下部の層のこと。高温・高圧で高い剛性を持つ層であり、流動性の振る舞いはほとんどない。,メソスフェア,,地学
火山の一形態。粘性の高い溶岩が噴出して生じた、鐘を伏せたような形の火山。箱根山中央火口丘の一つである駒ケ岳など。,溶岩ドーム,,地学
溶岩や火山砕屑物（火砕物）、あるいは岩片が交互に堆積して生じた火山。最も一般的な火山の形態で、多くは急峻な円錐形をなす。,成層火山,,地学
地震の際、初期微動を感じたあとに来る大きな震動。S波の到着で生じる。,主要動,,地学
深発地震の震源を連ねて得られる仮想の曲面。一般に弧状列島の大洋側にある海溝の底から始まり、列島の下を通って大陸側に斜めに深くなっていく。,和達ベニオフ帯,,地学
単層の断面で、基底から上に向かって堆積粒子の粒径が粗粒から細粒へと連続的に変化する現象。,級化層理,,地学
地質学の基本法則の一つ。「互いに重なる地層において，もともと下にあるものは，上にあるものよりも古い」といい表される。,地層累重の法則,,地学
熱帯と亜熱帯における対流圏の南北直接循環。,ハドレー循環,,地学
地球規模の大気大循環の一つ。緯度60度付近の亜寒帯低圧帯で上昇した空気が緯度30度付近まで移動して亜熱帯高圧帯で下降し、再び極方向に向かって循環を形成する。,フェレル循環,,地学
山から乾燥した高温の風が吹きおりる現象。山腹をのぼる際に雨を降らせて乾燥した空気が、反対側の山腹を下りる時に断熱変化で気温上昇するもの。,フェーン現象,,地学
寒冷前線は一般に温暖前線よりも動きが早いため、温帯低気圧が発達する過程で寒冷前線は温暖前線に追い付き両者の間の暖気を押し上げる。このときの前線のこと。追いついた寒気が元々あった寒気より冷たいかどうかで、温暖型と寒冷型に分かれる。,閉塞前線,,地学
通常の数倍から数十倍の規模に発達した巨大な積乱雲。多く、竜巻や激しい雷雨を伴う。,スーパーセル,,地学
